format,metric,year,value_actual
CD,Units,1973,0.0
CD,Units,1974,0.0
CD,Units,1975,0.0
CD,Units,1976,0.0
CD,Units,1977,0.0
CD,Units,1978,0.0
CD,Units,1979,0.0
CD,Units,1980,0.0
CD,Units,1981,0.0
CD,Units,1982,0.0
CD,Units,1983,0.8
CD,Units,1984,5.8
CD,Units,1985,22.6
CD,Units,1986,53.0
CD,Units,1987,102.1
CD,Units,1988,149.7
CD,Units,1989,207.2
CD,Units,1990,286.5
CD,Units,1991,333.3
CD,Units,1992,407.5
CD,Units,1993,495.4
CD,Units,1994,662.1
CD,Units,1995,722.9
CD,Units,1996,778.9
CD,Units,1997,753.1
CD,Units,1998,847.0
CD,Units,1999,938.9
CD,Units,2000,942.5
CD,Units,2001,881.9
CD,Units,2002,803.3
CD,Units,2003,746.0
CD,Units,2004,767.0
CD,Units,2005,705.4
CD,Units,2006,619.7
CD,Units,2007,499.7
CD,Units,2008,368.4
CD,Units,2009,296.6
CD,Units,2010,253.0
CD,Units,2011,240.8
CD,Units,2012,198.164387234
CD,Units,2013,173.793302906
CD,Units,2014,138.702363357
CD,Units,2015,117.144051764
CD,Units,2016,97.577071197
CD,Units,2017,87.682499971
CD,Units,2018,51.954275644
CD,Units,2019,46.506495584
CD Single,Units,1973,0.0
CD Single,Units,1974,0.0
CD Single,Units,1975,0.0
CD Single,Units,1976,0.0
CD Single,Units,1977,0.0
CD Single,Units,1978,0.0
CD Single,Units,1979,0.0
CD Single,Units,1980,0.0
CD Single,Units,1981,0.0
CD Single,Units,1982,0.0
CD Single,Units,1983,0.0
CD Single,Units,1984,0.0
CD Single,Units,1985,0.0
CD Single,Units,1986,0.0
CD Single,Units,1987,0.0
CD Single,Units,1988,1.6
CD Single,Units,1989,0.0
CD Single,Units,1990,1.1
CD Single,Units,1991,5.7
CD Single,Units,1992,7.3
CD Single,Units,1993,7.8
CD Single,Units,1994,9.3
CD Single,Units,1995,21.5
CD Single,Units,1996,43.2
CD Single,Units,1997,66.7
CD Single,Units,1998,56.0
CD Single,Units,1999,55.9
CD Single,Units,2000,34.2
CD Single,Units,2001,17.3
CD Single,Units,2002,4.5
CD Single,Units,2003,8.3
CD Single,Units,2004,3.1
CD Single,Units,2005,2.8
CD Single,Units,2006,1.7
CD Single,Units,2007,2.6
CD Single,Units,2008,0.7
CD Single,Units,2009,0.9
CD Single,Units,2010,1.0
CD Single,Units,2011,1.3
CD Single,Units,2012,1.072870407
CD Single,Units,2013,0.628895398
CD Single,Units,2014,0.928725116
CD Single,Units,2015,0.386721563
CD Single,Units,2016,0.121745255
CD Single,Units,2017,0.13261663
CD Single,Units,2018,0.020854078
CD Single,Units,2019,0.026257455
Cassette,Units,1973,15.0
Cassette,Units,1974,15.3
Cassette,Units,1975,16.2
Cassette,Units,1976,21.8
Cassette,Units,1977,36.9
Cassette,Units,1978,61.3
Cassette,Units,1979,78.5
Cassette,Units,1980,99.0
Cassette,Units,1981,124.0
Cassette,Units,1982,183.2
Cassette,Units,1983,236.8
Cassette,Units,1984,332.0
Cassette,Units,1985,339.1
Cassette,Units,1986,344.5
Cassette,Units,1987,410.0
Cassette,Units,1988,450.1
Cassette,Units,1989,446.2
Cassette,Units,1990,442.2
Cassette,Units,1991,360.1
Cassette,Units,1992,366.4
Cassette,Units,1993,339.5
Cassette,Units,1994,345.4
Cassette,Units,1995,272.6
Cassette,Units,1996,225.3
Cassette,Units,1997,172.6
Cassette,Units,1998,158.5
Cassette,Units,1999,123.6
Cassette,Units,2000,76.0
Cassette,Units,2001,45.0
Cassette,Units,2002,31.1
Cassette,Units,2003,17.2
Cassette,Units,2004,5.2
Cassette,Units,2005,2.5
Cassette,Units,2006,0.7
Cassette,Units,2007,0.4
Cassette,Units,2008,0.1
Cassette,Units,2009,0.0
Cassette,Units,2010,0.0
Cassette,Units,2011,0.0
Cassette,Units,2012,0.0
Cassette,Units,2013,0.0
Cassette,Units,2014,0.0
Cassette,Units,2015,0.0
Cassette,Units,2016,0.0
Cassette,Units,2017,0.0
Cassette,Units,2018,0.0
Cassette,Units,2019,0.0
Cassette Single,Units,1973,0.0
Cassette Single,Units,1974,0.0
Cassette Single,Units,1975,0.0
Cassette Single,Units,1976,0.0
Cassette Single,Units,1977,0.0
Cassette Single,Units,1978,0.0
Cassette Single,Units,1979,0.0
Cassette Single,Units,1980,0.0
Cassette Single,Units,1981,0.0
Cassette Single,Units,1982,0.0
Cassette Single,Units,1983,0.0
Cassette Single,Units,1984,0.0
Cassette Single,Units,1985,0.0
Cassette Single,Units,1986,0.0
Cassette Single,Units,1987,5.1
Cassette Single,Units,1988,22.5
Cassette Single,Units,1989,76.2
Cassette Single,Units,1990,87.4
Cassette Single,Units,1991,69.0
Cassette Single,Units,1992,84.6
Cassette Single,Units,1993,85.6
Cassette Single,Units,1994,81.1
Cassette Single,Units,1995,70.7
Cassette Single,Units,1996,59.9
Cassette Single,Units,1997,42.2
Cassette Single,Units,1998,26.4
Cassette Single,Units,1999,14.2
Cassette Single,Units,2000,1.3
Cassette Single,Units,2001,0.0
Cassette Single,Units,2002,0.0
Cassette Single,Units,2003,0.0
Cassette Single,Units,2004,0.0
Cassette Single,Units,2005,0.0
Cassette Single,Units,2006,0.0
Cassette Single,Units,2007,0.0
Cassette Single,Units,2008,0.0
Cassette Single,Units,2009,0.0
Cassette Single,Units,2010,0.0
Cassette Single,Units,2011,0.0
Cassette Single,Units,2012,0.0
Cassette Single,Units,2013,0.0
Cassette Single,Units,2014,0.0
Cassette Single,Units,2015,0.0
Cassette Single,Units,2016,0.0
Cassette Single,Units,2017,0.0
Cassette Single,Units,2018,0.0
Cassette Single,Units,2019,0.0
LP/EP,Units,1973,280.0
LP/EP,Units,1974,276.0
LP/EP,Units,1975,257.0
LP/EP,Units,1976,273.0
LP/EP,Units,1977,344.0
LP/EP,Units,1978,341.3
LP/EP,Units,1979,290.0
LP/EP,Units,1980,308.0
LP/EP,Units,1981,295.2
LP/EP,Units,1982,243.9
LP/EP,Units,1983,209.6
LP/EP,Units,1984,204.6
LP/EP,Units,1985,167.0
LP/EP,Units,1986,125.2
LP/EP,Units,1987,107.0
LP/EP,Units,1988,72.4
LP/EP,Units,1989,34.6
LP/EP,Units,1990,11.7
LP/EP,Units,1991,4.8
LP/EP,Units,1992,2.3
LP/EP,Units,1993,1.2
LP/EP,Units,1994,1.9
LP/EP,Units,1995,2.2
LP/EP,Units,1996,2.9
LP/EP,Units,1997,2.7
LP/EP,Units,1998,3.4
LP/EP,Units,1999,2.9
LP/EP,Units,2000,2.2
LP/EP,Units,2001,2.3
LP/EP,Units,2002,1.743
LP/EP,Units,2003,1.5
LP/EP,Units,2004,1.4
LP/EP,Units,2005,1.0
LP/EP,Units,2006,0.9
LP/EP,Units,2007,1.3
LP/EP,Units,2008,2.9
LP/EP,Units,2009,3.5
LP/EP,Units,2010,4.2
LP/EP,Units,2011,5.5
LP/EP,Units,2012,6.915365189
LP/EP,Units,2013,9.35128587
LP/EP,Units,2014,10.315563906
LP/EP,Units,2015,13.68102972
LP/EP,Units,2016,14.770886026
LP/EP,Units,2017,15.556089168
LP/EP,Units,2018,16.670127326
LP/EP,Units,2019,19.103162826
Vinyl Single,Units,1973,228.0
Vinyl Single,Units,1974,204.0
Vinyl Single,Units,1975,164.0
Vinyl Single,Units,1976,190.0
Vinyl Single,Units,1977,190.0
Vinyl Single,Units,1978,190.0
Vinyl Single,Units,1979,212.0
Vinyl Single,Units,1980,157.0
Vinyl Single,Units,1981,154.7
Vinyl Single,Units,1982,137.2
Vinyl Single,Units,1983,124.8
Vinyl Single,Units,1984,131.5
Vinyl Single,Units,1985,120.7
Vinyl Single,Units,1986,93.9
Vinyl Single,Units,1987,82.0
Vinyl Single,Units,1988,65.6
Vinyl Single,Units,1989,36.6
Vinyl Single,Units,1990,27.6
Vinyl Single,Units,1991,22.0
Vinyl Single,Units,1992,19.8
Vinyl Single,Units,1993,15.1
Vinyl Single,Units,1994,11.7
Vinyl Single,Units,1995,10.2
Vinyl Single,Units,1996,10.1
Vinyl Single,Units,1997,7.5
Vinyl Single,Units,1998,5.4
Vinyl Single,Units,1999,5.3
Vinyl Single,Units,2000,4.8
Vinyl Single,Units,2001,5.5
Vinyl Single,Units,2002,4.4
Vinyl Single,Units,2003,3.8
Vinyl Single,Units,2004,3.5
Vinyl Single,Units,2005,2.3
Vinyl Single,Units,2006,1.5
Vinyl Single,Units,2007,0.6
Vinyl Single,Units,2008,0.4
Vinyl Single,Units,2009,0.3
Vinyl Single,Units,2010,0.3
Vinyl Single,Units,2011,0.4
Vinyl Single,Units,2012,0.388573687
Vinyl Single,Units,2013,0.315817054
Vinyl Single,Units,2014,0.481198278
Vinyl Single,Units,2015,0.50786991
Vinyl Single,Units,2016,0.404330651
Vinyl Single,Units,2017,0.402959365
Vinyl Single,Units,2018,0.346165002
Vinyl Single,Units,2019,0.336120488
8 - Track,Units,1973,91.0
8 - Track,Units,1974,96.7
8 - Track,Units,1975,94.6
8 - Track,Units,1976,106.1
8 - Track,Units,1977,127.3
8 - Track,Units,1978,133.6
8 - Track,Units,1979,102.3
8 - Track,Units,1980,85.0
8 - Track,Units,1981,50.0
8 - Track,Units,1982,13.7
8 - Track,Units,1983,0.0
8 - Track,Units,1984,0.0
8 - Track,Units,1985,0.0
8 - Track,Units,1986,0.0
8 - Track,Units,1987,0.0
8 - Track,Units,1988,0.0
8 - Track,Units,1989,0.0
8 - Track,Units,1990,0.0
8 - Track,Units,1991,0.0
8 - Track,Units,1992,0.0
8 - Track,Units,1993,0.0
8 - Track,Units,1994,0.0
8 - Track,Units,1995,0.0
8 - Track,Units,1996,0.0
8 - Track,Units,1997,0.0
8 - Track,Units,1998,0.0
8 - Track,Units,1999,0.0
8 - Track,Units,2000,0.0
8 - Track,Units,2001,0.0
8 - Track,Units,2002,0.0
8 - Track,Units,2003,0.0
8 - Track,Units,2004,0.0
8 - Track,Units,2005,0.0
8 - Track,Units,2006,0.0
8 - Track,Units,2007,0.0
8 - Track,Units,2008,0.0
8 - Track,Units,2009,0.0
8 - Track,Units,2010,0.0
8 - Track,Units,2011,0.0
8 - Track,Units,2012,0.0
8 - Track,Units,2013,0.0
8 - Track,Units,2014,0.0
8 - Track,Units,2015,0.0
8 - Track,Units,2016,0.0
8 - Track,Units,2017,0.0
8 - Track,Units,2018,0.0
8 - Track,Units,2019,0.0
Other Tapes,Units,1973,2.2
Other Tapes,Units,1974,1.9
Other Tapes,Units,1975,1.5
Other Tapes,Units,1976,0.7
Other Tapes,Units,1977,0.0
Other Tapes,Units,1978,0.0
Other Tapes,Units,1979,0.0
Other Tapes,Units,1980,0.0
Other Tapes,Units,1981,0.0
Other Tapes,Units,1982,0.0
Other Tapes,Units,1983,0.0
Other Tapes,Units,1984,0.0
Other Tapes,Units,1985,0.0
Other Tapes,Units,1986,0.0
Other Tapes,Units,1987,0.0
Other Tapes,Units,1988,0.0
Other Tapes,Units,1989,0.0
Other Tapes,Units,1990,0.0
Other Tapes,Units,1991,0.0
Other Tapes,Units,1992,0.0
Other Tapes,Units,1993,0.0
Other Tapes,Units,1994,0.0
Other Tapes,Units,1995,0.0
Other Tapes,Units,1996,0.0
Other Tapes,Units,1997,0.0
Other Tapes,Units,1998,0.0
Other Tapes,Units,1999,0.0
Other Tapes,Units,2000,0.0
Other Tapes,Units,2001,0.0
Other Tapes,Units,2002,0.0
Other Tapes,Units,2003,0.0
Other Tapes,Units,2004,0.0
Other Tapes,Units,2005,0.0
Other Tapes,Units,2006,0.0
Other Tapes,Units,2007,0.0
Other Tapes,Units,2008,0.0
Other Tapes,Units,2009,0.0
Other Tapes,Units,2010,0.0
Other Tapes,Units,2011,0.0
Other Tapes,Units,2012,0.0
Other Tapes,Units,2013,0.0
Other Tapes,Units,2014,0.0
Other Tapes,Units,2015,0.0
Other Tapes,Units,2016,0.0
Other Tapes,Units,2017,0.0
Other Tapes,Units,2018,0.0
Other Tapes,Units,2019,0.0
Music Video (Physical),Units,1973,0.0
Music Video (Physical),Units,1974,0.0
Music Video (Physical),Units,1975,0.0
Music Video (Physical),Units,1976,0.0
Music Video (Physical),Units,1977,0.0
Music Video (Physical),Units,1978,0.0
Music Video (Physical),Units,1979,0.0
Music Video (Physical),Units,1980,0.0
Music Video (Physical),Units,1981,0.0
Music Video (Physical),Units,1982,0.0
Music Video (Physical),Units,1983,0.0
Music Video (Physical),Units,1984,0.0
Music Video (Physical),Units,1985,0.0
Music Video (Physical),Units,1986,0.0
Music Video (Physical),Units,1987,0.0
Music Video (Physical),Units,1988,0.0
Music Video (Physical),Units,1989,6.1
Music Video (Physical),Units,1990,9.2
Music Video (Physical),Units,1991,6.1
Music Video (Physical),Units,1992,7.6
Music Video (Physical),Units,1993,11.0
Music Video (Physical),Units,1994,11.2
Music Video (Physical),Units,1995,12.6
Music Video (Physical),Units,1996,16.9
Music Video (Physical),Units,1997,18.6
Music Video (Physical),Units,1998,27.2
Music Video (Physical),Units,1999,19.8
Music Video (Physical),Units,2000,18.2
Music Video (Physical),Units,2001,17.7
Music Video (Physical),Units,2002,14.7
Music Video (Physical),Units,2003,19.9
Music Video (Physical),Units,2004,32.8
Music Video (Physical),Units,2005,33.8
Music Video (Physical),Units,2006,23.2
Music Video (Physical),Units,2007,27.5
Music Video (Physical),Units,2008,13.2
Music Video (Physical),Units,2009,11.6
Music Video (Physical),Units,2010,9.1
Music Video (Physical),Units,2011,7.7
Music Video (Physical),Units,2012,6.032725467
Music Video (Physical),Units,2013,4.814626524
Music Video (Physical),Units,2014,4.065323601
Music Video (Physical),Units,2015,3.133228006
Music Video (Physical),Units,2016,2.495531725
Music Video (Physical),Units,2017,1.87712837
Music Video (Physical),Units,2018,1.395058021
Music Video (Physical),Units,2019,1.32294236
DVD Audio,Units,1973,0.0
DVD Audio,Units,1974,0.0
DVD Audio,Units,1975,0.0
DVD Audio,Units,1976,0.0
DVD Audio,Units,1977,0.0
DVD Audio,Units,1978,0.0
DVD Audio,Units,1979,0.0
DVD Audio,Units,1980,0.0
DVD Audio,Units,1981,0.0
DVD Audio,Units,1982,0.0
DVD Audio,Units,1983,0.0
DVD Audio,Units,1984,0.0
DVD Audio,Units,1985,0.0
DVD Audio,Units,1986,0.0
DVD Audio,Units,1987,0.0
